keyword,Type,score,fact,
abuse,n,150,TRUE,
abusive,n,130,TRUE,
accident,n,100,TRUE,
afraid,n,100,FALSE,
agitate,n,120,FALSE,
alone,n,140,FALSE,
anger,n,140,FALSE,
angry,n,140,FALSE,
annoy,n,100,FALSE,
annoyance,n,100,FALSE,
anxiety,n,100,FALSE,
anxious,n,100,FALSE,
argue,n,100,TRUE,
argument,n,110,TRUE,
ashame,n,100,FALSE,
avoid,n,50,NOPE,
awful,n,120,FALSE,
bad,n,100,FALSE,
beg,n,100,TRUE,
best,p,140,FALSE,
betray,n,140,TRUE,
betrayal,n,140,TRUE,
betraying,n,140,TRUE,
better,p,100,FALSE,
bit,e,0.7,e,
bitch,n,100,FALSE,
blame,n,120,TRUE,
bore,n,100,FALSE,
boring,n,100,FALSE,
bother,n,100,TRUE,
bothersome,n,100,TRUE,
break up,n,150,TRUE,
breaking up,n,150,TRUE,
breakup,n,150,TRUE,
bullied,n,150,FALSE,
bullying,n,150,TRUE,
burden,n,120,TRUE,
cheat,n,150,TRUE,
cheating,n,150,TRUE,
comfortable,p,110,FALSE,
concern,n,100,TRUE,
confident,p,100,FALSE,
conflict,n,110,TRUE,
confliction,n,110,TRUE,
confuse,n,100,TRUE,
confusion,n,100,TRUE,2_____________bigram_______________matched______________________________________
cry,n,150,FALSE,2_____________bigram_______________matched______________________________________
crying,n,150,FALSE,
criticize,n,120,TRUE
damn,n,100,TRUE,
dark,n,110,FALSE,
depress,n,150,FALSE,
depression,n,150,FALSE,
desperate,n,110,FALSE,
destroy,n,140,NOPE,
destroying,n,140,NOPE,
difficult,n,100,FALSE,
disappoint,n,100,FALSE,
disappointing,n,100,NOPE,
disappointment,n,100,TRUE,
disaster,n,140,TRUE,
disgust,n,110,FALSE,
disgusting,n,110,NOPE,
divorce,n,150,TRUE,
down,n,100,FALSE,
dumb,n,100,FALSE,
dump,n,110,FALSE,
emptiness,n,100,FALSE,
empty,n,100,FALSE,
enjoy,p,100,FALSE,
enjoying,p,100,FALSE,
even,e,1.1,e,
ex,n,100,TRUE,
excite,p,120,FALSE,
fat,n,100,TRUE,
fail,n,100,FALSE,
failure,n,110,FALSE,
fairly,e,1.2,e,
fault,n,110,TRUE,
fear,n,120,FALSE,
fearful,n,120,FALSE,
fight,n,120,TRUE,
fighting,n,120,TRUE,
fine,p,100,FALSE,
fire,n,110,TRUE,
firing,n,110,TRUE,
freaking,n,120,FALSE,
frustrate,n,100,FALSE,
frustrating,n,100,FALSE,
frustration,n,100,FALSE,
fun,p,100,FALSE,
funny,p,100,FALSE,
garbage,n,140,FALSE,
good,p,100,FALSE,
great,p,130,FALSE,
happier,p,130,FALSE,
happiest,p,150,FALSE,
happy,p,130,FALSE,
harder,n,110,FALSE,
harderst,n,120,FALSE,
hate,n,130,FALSE,
hates,n,130,FALSE,
hating,n,130,FALSE,
helpless,n,100,FALSE,
hopeless,n,100,FALSE,
horrible,n,120,FALSE,
hurt,n,140,FALSE,
hurting,n,140,FALSE,
idiot,n,120,FALSE,
ignore,n,120,FALSE,
ignoring,n,100,FALSE,
isolate,n,100,FALSE,
issue,n,100,TRUE,
jealous,n,100,FALSE,
jerk,n,100,FALSE,
just,e,1.2,e,
kind of,e,0.8,e,
kindness,p,100,FALSE,
least,e,0.6,e,
less,e,0.8,e,
liar,n,100,FALSE,
lie,n,120,TRUE,
like,p,100,FALSE,if this is adjective
little,e,0.7,e,
loneliness,n,100,FALSE,
lonely,n,100,FALSE,
lost,n,100,FALSE,
lot,e,1.2,e,
love,p,150,FALSE,
loving,p,150,FALSE,
lying,n,100,FALSE,
mad,n,120,FALSE,
madness,n,120,FALSE,
many,e,1.2,e,
maybe,e,0.7,e,
mean,n,110,FALSE,
meaningless,n,100,FALSE,
miss,n,100,FALSE,
missing,n,100,FALSE,
more,e,1.3,e,
most,e,1.5,e,
much,e,1.3,e,
negative,n,100,FALSE,
never,e,1.3,e,
nice,p,100,FALSE,
nicer,p,120,FALSE,
offend,n,100,FALSE,
offending,n,100,FALSE,
ok,n,50,FALSE,
okay,n,50,FALSE,
only,e,0.8,e,
overthink,n,150,TRUE,
overwhelme,n,120,FALSE,
pain,n,100,FALSE,
painful,n,100,FALSE,
peace,p,100,FALSE,
pointless,n,100,FALSE,
pointlessness,n,100,FALSE,
positive,p,100,FALSE,
pressure,n,100,FALSE,
pretty,e,1.3,e,
problem,n,100,TRUE,
proud,p,100,FALSE,
quite,e,1.3,e,
really,e,1.3,e,
reject,n,150,FALSE,
rejecting,n,150,FALSE,
rejection,n,150,FALSE,
ridiculous,n,100,FALSE,
ruin,n,150,FALSE,
ruined,n,150,FALSE,
sad,n,100,FALSE,
sadness,n,100,FALSE,
scare,n,100,FALSE,
scary,n,100,FALSE,
severly,e,1.2,e,
shady,n,90,FALSE,
shallow,n,70,FALSE,
shit,n,140,FALSE,
shitty,n,140,FALSE,
sick,n,90,FALSE,
seizure,n,150,TRUE,
silly,n,100,FALSE,
so,e,1.3,e,
sorry,n,100,FALSE,
sort of,e,0.8,e,
stress,n,100,FALSE,
stressful,n,100,FALSE,
struggle,n,110,FALSE,
struggling,n,110,FALSE,
stuck,n,100,FALSE,
stupid,n,110,FALSE,
suck,n,140,FALSE,
suffer,n,100,FALSE,
suffering,n,100,FALSE,
super,e,1.5,e,
terrible,n,130,FALSE,
terrifying,n,130,FALSE,if verb
tire,n,100,FALSE,
too,e,1.4,e,
torn,n,120,FALSE,
tough,n,100,FALSE,
toxic,n,120,FALSE,
trouble,n,100,TRUE,
threaten,n,150,TRUE,
troublesome,n,100,FALSE,
troubling,n,100,FALSE,
uncare,n,100,FALSE,
unhappy,n,100,FALSE,
upset,n,100,FALSE,
ugly,n,100,TRUE,
uptight,n,120,FALSE,
useless,n,120,FALSE,
very,e,1.3,e,
well,p,60,FALSE,
worry,n,90,FALSE,
worrying,n,90,FALSE,
worse,n,120,FALSE,
worst,n,150,FALSE,
worthless,n,150,FALSE,
wrong,n,100,FALSE,
insecure,n,100,FALSE,
insecurity,n,100,FALSE,